Cluster,Iteration,Weight_Seismic,Weight_Wildfire,Weight_Flood,Weight_Soil_Erosion,Weight_Landslide,Weight_Asset_Vulnerability
1,1,0.3243068003673843,0.28219539496442464,0.033202586613286685,0.08769311810939022,0.11543316231098302,0.15716893763453116
1,2,0.3056088146291324,0.2832156162017865,0.032634054274388424,0.09468150082838397,0.12427860750454381,0.15958140656176498
1,3,0.28827647370790926,0.3020692709918525,0.02899039488041302,0.0888303331214987,0.1142508672608698,0.17758266003745662
1,4,0.2906984376618684,0.2857315291660375,0.03115100842491996,0.09443305774626648,0.12521238901506676,0.17277357798584084
1,5,0.30778562886506755,0.298634118418963,0.02874092679348415,0.09213474665318122,0.11088735986446326,0.16181721940484084
1,6,0.3033770952182682,0.30406014691887495,0.029750927326342096,0.08074981502922436,0.12896184242560974,0.15310017308168072
1,7,0.28717919512426526,0.28726179280199665,0.032969237508446485,0.08616128066191076,0.11936240330425549,0.18706609059912527
1,8,0.30754214671314906,0.293488276441837,0.03161034753220283,0.08114735401938188,0.1091538050634418,0.1770580702299875
1,9,0.2903451697017049,0.29899342746181684,0.028559966028031444,0.08631123498714689,0.13217138995161076,0.1636188118696891
1,10,0.28964385306805907,0.31350187941881014,0.028264149300933426,0.09005247567389789,0.11759877606366008,0.16093886647463945
1,11,0.277566537867125,0.2977694542830046,0.031888172699123106,0.08463203960039113,0.12093205818283086,0.1872117373675253
1,12,0.3029518349977387,0.2924484731735776,0.03071420714431221,0.08205528010816934,0.12116496131458289,0.17066524326161933
1,13,0.2988899566439097,0.2723735683409185,0.0328796578372907,0.08060120764299662,0.1335441066655292,0.1817115028693553
1,14,0.2872867137069935,0.2855107551868851,0.03430414776872634,0.09420260339749757,0.12506507764136796,0.17363070229852948
1,15,0.3084983946883346,0.27289186139247185,0.028167691787524932,0.08906823610814711,0.1321887915661831,0.1691850244573384
1,16,0.27037065557151024,0.31302757188499586,0.02925668039150406,0.08980962383937155,0.12883210396813377,0.16870336434448452
1,17,0.31470268440508803,0.29486678295021856,0.03180177636842403,0.08055238006042717,0.12770703177918732,0.15036934443665484
1,18,0.30275293490798616,0.2990501227387436,0.02911689438968079,0.08223030762020643,0.11837029057296923,0.16847944977041385
1,19,0.27902350975352663,0.3080594239227668,0.030516199055560946,0.08266497564018549,0.12227540137069758,0.17746049025726252
1,20,0.2894306724294761,0.3012756191004145,0.03148020744846378,0.08013249998922009,0.12422753263245079,0.17345346839997472
1,21,0.30308695940479063,0.2895097437763299,0.02824821002216467,0.08031216355745426,0.12709273869744797,0.17175018454181273
1,22,0.30122097473586934,0.29155163430537895,0.030413412195433333,0.0818152071841448,0.12592989796588228,0.16906887361329126
1,23,0.2799759308693639,0.30891297359434994,0.028269986597863995,0.09301109827270322,0.12304370492428726,0.1667863057414317
1,24,0.2958129716054694,0.30440974933869397,0.026799835017267,0.08515135528240585,0.11389070027635277,0.1739353884798111
1,25,0.30527207627813613,0.29781878822708396,0.026721829189422473,0.09019770571718007,0.11068579813485407,0.16930380245332327
1,26,0.2880656653724795,0.28903346471937563,0.031026440466550755,0.07914078438008786,0.12881685239617785,0.18391679266532837
1,27,0.2948508091674424,0.3068952643190281,0.031090771092314135,0.0909375462488356,0.12647678536656176,0.14974882380581814
1,28,0.2676978378061371,0.31910945471643726,0.027927359107419125,0.08922561644766437,0.11734643522397784,0.17869329669836423
1,29,0.2793253020023363,0.2766657517406349,0.033061721316708294,0.09954240530253694,0.12829459763510326,0.18311022200268037
1,30,0.3115982860364059,0.2956810943572823,0.02695395975640195,0.07997922838339122,0.1167221426503303,0.16906528881618824
1,31,0.31769195964421243,0.2992429634216208,0.029607387257873524,0.07895797384073955,0.12048030293402205,0.1540194129015317
1,32,0.30063287943189,0.28067174618773555,0.030447323518397865,0.0788596884210625,0.1293735927463225,0.18001476969459168
